TransactionID,CustomerID,TransactionAmount,AccountNumber,Date
213,12,$33.37,11463,9/3/2021
214,14,$89.35,10837,9/3/2021
216,9,$29.53,11053,9/3/2021
217,1,$34.40,14785,9/3/2021
219,6,$14.45,11071,9/3/2021
221,1,$70.37,14785,9/3/2021
222,12,$149.88,11463,9/3/2021
223,3,$38.62,12847,9/3/2021
224,9,$109.80,11053,9/3/2021
225,5,$60.85,14375,9/3/2021
226,10,$101.44,14799,9/3/2021
227,2,$23.15,13453,9/3/2021
228,13,$111.61,13579,9/3/2021
229,3,$60.76,12847,9/3/2021
230,10,$131.41,14799,9/3/2021
231,6,$23.89,11071,9/3/2021
232,9,$62.40,11053,9/3/2021
233,14,$77.38,10837,9/3/2021
234,1,$130.53,14785,9/3/2021
235,13,$3.60,13579,9/3/2021
237,5,$68.57,14375,9/3/2021
239,9,$127.45,11053,9/3/2021
241,6,$20.34,11071,9/3/2021
242,4,$26.23,10831,9/3/2021
243,1,$81.20,14785,9/3/2021
244,14,$81.53,10837,9/3/2021
245,14,$109.65,10837,9/3/2021
246,11,$112.23,12195,9/3/2021
247,8,$105.55,11235,9/3/2021
249,7,$28.23,14759,9/3/2021
250,4,$49.03,10831,9/3/2021
251,13,$136.58,13579,9/3/2021
252,6,$60.68,11071,9/3/2021
253,10,$104.67,14799,9/3/2021
254,8,$22.82,11235,9/3/2021
255,13,$120.77,13579,9/3/2021
257,4,$3.17,10831,9/3/2021
258,9,$37.57,11053,9/3/2021
259,3,$94.81,12847,9/3/2021
260,5,$24.53,14375,9/3/2021
261,3,$36.55,12847,9/3/2021
262,3,$104.12,12847,9/3/2021
263,7,$143.22,14759,9/3/2021
264,9,$79.96,11053,9/3/2021
266,10,$146.15,14799,9/3/2021
267,14,$53.48,10837,9/3/2021
268,5,$40.52,14375,9/3/2021
271,1,$43.61,14785,9/3/2021
272,11,$7.75,12195,9/3/2021
273,11,$28.94,12195,9/3/2021
274,6,$15.69,11071,9/3/2021
275,14,$31.79,10837,9/3/2021
277,8,$114.80,11235,9/3/2021
278,1,$82.42,14785,9/3/2021
283,3,$120.42,12847,9/3/2021
285,13,$97.26,13579,9/3/2021
286,9,$78.21,11053,9/3/2021
288,14,$114.70,10837,9/3/2021
290,13,$102.86,13579,9/3/2021
291,10,$52.88,14799,9/3/2021
293,11,$16.84,12195,9/3/2021
294,13,$119.04,13579,9/3/2021
295,3,$137.86,12847,9/3/2021
296,14,$100.24,10837,9/3/2021
297,8,$0.86,11235,9/3/2021
298,6,$82.88,11071,9/3/2021
299,3,$63.39,12847,9/3/2021
300,7,$36.47,14759,9/3/2021
301,13,$42.42,13579,9/3/2021
302,10,$124.08,14799,9/3/2021
303,14,$86.32,10837,9/3/2021
304,4,$52.27,10831,9/3/2021
305,8,$32.71,11235,9/3/2021
306,15,$116.55,11447,9/3/2021
307,14,$130.19,10837,9/3/2021
308,14,$59.27,10837,9/3/2021
309,6,$19.82,11071,9/3/2021
310,8,$143.13,11235,9/3/2021
311,14,$108.06,10837,9/3/2021
312,8,$4.44,11235,9/3/2021
313,1,$104.17,14785,9/3/2021
314,6,$73.80,11071,9/3/2021
315,8,$113.49,11235,9/3/2021
316,9,$26.05,11053,9/3/2021
317,5,$124.42,14375,9/3/2021
318,2,$96.76,13453,9/3/2021
319,14,$130.84,10837,9/3/2021
320,2,$116.92,13453,9/3/2021
322,5,$34.71,14375,9/3/2021
323,2,$113.89,13453,9/3/2021
324,2,$146.95,13453,9/3/2021
325,11,$47.57,12195,9/3/2021
326,11,$127.53,12195,9/3/2021
327,3,$53.75,12847,9/3/2021
328,13,$19.63,13579,9/3/2021
329,14,$114.86,10837,9/3/2021
331,2,$26.13,13453,9/3/2021
332,6,$133.73,11071,9/3/2021
333,2,$85.65,13453,9/3/2021
334,10,$86.83,14799,9/3/2021
336,7,$0.14,14759,9/3/2021
337,14,$136.86,10837,9/3/2021
338,4,$95.10,10831,9/3/2021
339,4,$123.78,10831,9/3/2021
340,4,$14.75,10831,9/3/2021
342,4,$125.30,10831,9/3/2021
343,12,$69.55,11463,9/3/2021
345,12,$142.93,11463,9/3/2021
346,14,$144.76,10837,9/3/2021
347,6,$113.31,11071,9/3/2021
349,1,$57.06,14785,9/3/2021
350,5,$71.25,14375,9/3/2021
352,5,$41.52,14375,9/3/2021
353,4,$112.80,10831,9/3/2021
354,12,$107.57,11463,9/3/2021
358,8,$24.63,11235,9/3/2021
359,8,$82.26,11235,9/3/2021
360,8,$137.72,11235,9/3/2021
362,12,$138.27,11463,9/3/2021
363,2,$105.81,13453,9/3/2021
365,3,$15.38,12847,9/3/2021
366,13,$47.86,13579,9/3/2021
368,11,$66.59,12195,9/3/2021
369,5,$134.05,14375,9/3/2021
371,14,$16.10,10837,9/3/2021
372,2,$79.70,13453,9/3/2021
374,13,$70.77,13579,9/3/2021
375,10,$121.48,14799,9/3/2021
376,13,$59.07,13579,9/3/2021
377,11,$49.67,12195,9/3/2021
379,8,$15.12,11235,9/3/2021
382,9,$129.50,11053,9/3/2021
383,13,$142.29,13579,9/3/2021
384,2,$84.54,13453,9/3/2021
385,12,$26.23,11463,9/3/2021
387,3,$8.75,12847,9/3/2021
388,6,$24.76,11071,9/3/2021
389,13,$20.59,13579,9/3/2021
390,12,$43.41,11463,9/3/2021
394,1,$44.19,14785,9/3/2021
396,12,$106.17,11463,9/3/2021
397,3,$28.65,12847,9/3/2021
398,13,$59.84,13579,9/3/2021
399,11,$134.64,12195,9/3/2021
400,15,$111.47,11447,9/3/2021
402,11,$58.96,12195,9/3/2021
405,5,$144.31,14375,9/3/2021
406,3,$27.20,12847,9/3/2021
407,15,$29.16,11447,9/3/2021
408,1,$14.89,14785,9/3/2021
409,12,$53.08,11463,9/3/2021
410,3,$73.90,12847,9/3/2021
412,14,$36.02,10837,9/3/2021
413,12,$104.67,11463,9/3/2021
416,2,$73.29,13453,9/3/2021
417,15,$2.09,11447,9/3/2021
420,12,$1.52,11463,9/3/2021
422,6,$148.44,11071,9/3/2021
423,13,$2.03,13579,9/3/2021
424,8,$39.56,11235,9/3/2021
425,12,$71.34,11463,9/3/2021
426,2,$45.94,13453,9/3/2021
427,7,$25.84,14759,9/3/2021
428,8,$53.45,11235,9/3/2021
429,6,$93.35,11071,9/3/2021
430,1,$14.14,14785,9/3/2021
431,13,$109.69,13579,9/3/2021
432,15,$63.97,11447,9/3/2021
433,2,$110.59,13453,9/3/2021
434,9,$18.69,11053,9/3/2021
435,6,$74.90,11071,9/3/2021
436,7,$136.34,14759,9/3/2021
438,1,$75.59,14785,9/3/2021
439,8,$47.34,11235,9/3/2021
440,13,$146.18,13579,9/3/2021
441,15,$30.11,11447,9/3/2021
443,15,$132.81,11447,9/3/2021
444,7,$72.87,14759,9/3/2021
445,2,$16.84,13453,9/3/2021
446,8,$22.45,11235,9/3/2021
447,5,$78.13,14375,9/3/2021
448,8,$95.72,11235,9/3/2021
449,9,$11.86,11053,9/3/2021
450,1,$12.58,14785,9/3/2021
